rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/explained_variance,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/entropy_loss
13.29,9.759017270000001,1,665,2048,3,,,,,,,,,,
15.41,11.057655229999998,2,1333,4096,3,0.00573575496673584,0.2,3.948309898376465,0.0126945125,0.17333984375,10.308338092267514,10,0.0003,-0.020521070166432766,-1.5965161845088005
19.5,14.084555970000002,3,2000,6144,3,0.1098523736000061,0.2,6.616157531738281,0.012597053,0.191259765625,15.896255296468734,20,0.0003,-0.022967986248841044,-1.5718170929700137
22.58,15.864264870000001,4,2667,8192,3,0.14779508113861084,0.2,8.919260025024414,0.017144859,0.188720703125,19.316337203979494,30,0.0003,-0.021383964028791523,-1.515977792441845
23.25,16.208876619999998,5,3334,10240,3,0.14028537273406982,0.2,12.005667686462402,0.011611087,0.161328125,23.00290206372738,40,0.0003,-0.017564028216293083,-1.43885488063097
27.18,18.978354159999995,6,4001,12288,3,0.2028694748878479,0.2,14.373882293701172,0.014198025,0.17861328125,28.347255498170853,50,0.0003,-0.022368234085297443,-1.3402715403586627
26.31,18.16005265,7,4668,14336,3,0.3134281039237976,0.2,11.000677108764648,0.016009819,0.1107421875,19.613883613049985,60,0.0003,-0.011397915160341655,-1.2321066986769438
26.2,17.97258509,8,5335,16384,3,0.16829794645309448,0.2,8.973291397094727,0.0069407863,0.1013671875,32.820301762223245,70,0.0003,-0.009555635169090238,-1.1483381249010562
28.04,19.2239418,9,6002,18432,3,0.15528595447540283,0.2,14.8321533203125,0.012916666,0.154443359375,28.940841934084894,80,0.0003,-0.014186878820692073,-1.024956770427525
29.56,20.27859892,10,6668,20480,3,0.15977632999420166,0.2,3.1051032543182373,0.009804234,0.124169921875,14.406836624443532,90,0.0003,-0.0077678597386693585,-0.8888712000101805
29.11,19.89921173,11,7336,22528,3,0.1844102144241333,0.2,3.241925001144409,0.0017359732,0.042919921875,13.141342739015817,100,0.0003,-0.0024381157738389446,-0.8002129653468728
29.79,20.363988480000003,12,8002,24576,3,0.09050095081329346,0.2,21.48474884033203,0.004176082,0.041943359375,19.399669878184795,110,0.0003,-0.002509590659610694,-0.7419917168095708
30.0,20.53779557,13,8670,26624,3,0.05099129676818848,0.2,1.1433441638946533,0.0025106762,0.029541015625,7.730818249285221,120,0.0003,-0.0018666332543944009,-0.72216208986938
29.84,20.427086740000004,14,9336,28672,3,0.36989420652389526,0.2,0.5844554901123047,0.0037163575,0.032666015625,2.0835163628682496,130,0.0003,-0.0016090728997369297,-0.6997655367478728
