time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
1,2048,13.13,638,9.721029629999999,3,,,,,,,,,,
2,4096,14.57,1278,10.75080696,3,10.799238659441471,-1.5956239741295577,0.0003,10,0.2,0.245166015625,3.927022695541382,0.015874334,0.014856338500976562,-0.025143324269447476
3,6144,17.01,1919,12.05596696,3,16.07837986946106,-1.5580929204821587,0.0003,20,0.2,0.1779296875,5.594642639160156,0.014837215,0.07858455181121826,-0.019945044457563198
4,8192,22.43,2560,15.881315180000001,3,21.86452431678772,-1.4884760357439517,0.0003,30,0.2,0.212255859375,11.973755836486816,0.01580546,0.07137680053710938,-0.024486032238201005
5,10240,24.94,3201,17.611277630000004,3,21.170294561982153,-1.4084482431411742,0.0003,40,0.2,0.200341796875,6.885073184967041,0.012560362,0.1450190544128418,-0.02152679175196681
6,12288,25.4,3841,17.683715309999997,3,21.823583805561064,-1.3197850480675697,0.0003,50,0.2,0.1783203125,11.295980453491211,0.011753559,0.20270830392837524,-0.017188730362977366
7,14336,25.29,4480,17.46974979,3,30.53977768421173,-1.223765468224883,0.0003,60,0.2,0.106298828125,13.830371856689453,0.01488279,0.08301353454589844,-0.012342545533465454
8,16384,27.43,5119,18.868284369999998,3,29.509249192476272,-1.133152912184596,0.0003,70,0.2,0.104443359375,15.701835632324219,0.013273811,0.13747859001159668,-0.0116990746173542
9,18432,28.06,5760,19.28290716,3,18.13259710222483,-1.018782104179263,0.0003,80,0.2,0.089501953125,11.541943550109863,0.0077675083,0.19051975011825562,-0.010939631320070475
10,20480,28.26,6399,19.376207070000003,3,20.86714524924755,-0.9602652411907912,0.0003,90,0.2,0.05341796875,12.418392181396484,0.0042666844,0.13218659162521362,-0.0072166838006523905
11,22528,28.05,7038,19.1925133,3,26.0993785277009,-0.9048567980527877,0.0003,100,0.2,0.121728515625,14.182246208190918,0.010419649,-0.004292488098144531,-0.006428643158869818
12,24576,28.95,7679,19.82614157,3,25.511350800842045,-0.8167877998203039,0.0003,110,0.2,0.052587890625,12.851966857910156,0.0044547115,0.00021070241928100586,-0.004604458904941567
13,26624,28.94,8318,19.781562100000002,3,14.331177427992225,-0.8034998949617147,0.0003,120,0.2,0.066943359375,2.615443229675293,0.0063870694,0.026937663555145264,-0.0036716938724566718
14,28672,28.93,8958,19.78136302,3,27.971983721107243,-0.7943200286477804,0.0003,130,0.2,0.032861328125,16.738903045654297,0.003743944,0.05769979953765869,-0.003444766653410625
15,30720,28.65,9598,19.57126946,3,35.428647980093956,-0.7728414095938205,0.0003,140,0.2,0.03134765625,14.851937294006348,0.0027735615,0.06287515163421631,-0.002395187572983559
16,32768,29.03,10239,19.83562888,3,37.544242673367265,-0.7212605647742748,0.0003,150,0.2,0.0552734375,13.881540298461914,0.004654946,-0.019383668899536133,-0.004385213583009318
17,34816,29.76,10879,20.31566906,3,25.314464312046766,-0.7692925876006484,0.0003,160,0.2,0.046435546875,20.737634658813477,0.0035760147,0.04665493965148926,-0.0033521561599627603
18,36864,29.68,11519,20.25588188,3,16.238151542469858,-0.7282904470339417,0.0003,170,0.2,0.0056640625,3.5080063343048096,0.0013107128,0.21882694959640503,-0.001039069379112334
19,38912,29.63,12159,20.246624539999996,3,25.693187364190816,-0.7093594819307327,0.0003,180,0.2,0.044775390625,17.415252685546875,0.0042139376,0.06591665744781494,-0.0038442145349108616
20,40960,29.3,12799,20.032383609999997,3,17.573302309587596,-0.7775714207440615,0.0003,190,0.2,0.01513671875,4.623559951782227,0.0028142883,0.1959153413772583,-0.0013494967541191726
21,43008,29.7,13439,20.29930557,3,27.49866309762001,-0.7304749997332692,0.0003,200,0.2,0.02958984375,17.124835968017578,0.003422836,0.41114896535873413,-0.004892259077314521
22,45056,29.33,14079,20.01546712,3,24.747734159603716,-0.7228713618591428,0.0003,210,0.2,0.048974609375,4.6609110832214355,0.0045027817,0.23870307207107544,-0.003894679179938976
23,47104,29.03,14718,19.8097639,3,22.577649391815065,-0.760658916272223,0.0003,220,0.2,0.04736328125,13.61266040802002,0.0037868149,0.27346330881118774,-0.0003289772772404831
24,49152,29.79,15358,20.36055228,3,12.818200848437845,-0.7691072650253773,0.0003,230,0.2,0.034619140625,1.6754460334777832,0.0058523086,0.5534574687480927,-0.0009635593858547508
25,51200,29.03,15998,19.805463849999995,3,10.438779284618795,-0.7571921613067388,0.0003,240,0.2,0.0392578125,0.6036211252212524,0.0024656286,0.1577194333076477,-0.0011554978409549221
26,53248,28.9,16638,19.71736552,3,24.89363440629095,-0.7259130405262113,0.0003,250,0.2,0.026953125,0.9037346839904785,0.0025529312,0.07783609628677368,-0.0007347747719904874
27,55296,29.64,17278,20.22025532,3,39.88534191660583,-0.7068789226934313,0.0003,260,0.2,0.01142578125,33.99031448364258,0.0052450253,0.18683862686157227,-0.0009966491925297305
28,57344,29.5,17917,20.100717669999998,3,31.29811247512698,-0.5939449027180672,0.0003,270,0.2,0.03720703125,11.816427230834961,0.0027628415,0.13791441917419434,-0.003071446064495831
29,59392,29.59,18557,20.17067798,3,27.592289553955197,-0.5847852295264602,0.0003,280,0.2,0.02470703125,3.1578779220581055,0.003920546,0.3163142800331116,-0.003344560849654954
30,61440,30.0,19196,20.47566813,3,24.69108925610781,-0.5321293532848358,0.0003,290,0.2,0.01259765625,23.89434242248535,0.0019654704,0.3297821283340454,-0.002379451118395082
