#{"t_start": 1776070569.1192172, "env_id": "highway-v0"}
r,l,t
5.503172,8,4.179789
16.866335,23,11.353445
8.370249,11,14.782306
14.660747,18,20.390934
1.767153,3,21.338216
4.364794,6,23.225613
3.402417,5,24.795116
9.201939,13,28.842374
12.04684,16,33.825525
13.842819,18,39.451021
5.078336,6,41.326724
2.438349,4,42.590809
1.600054,3,43.536874
1.764923,3,44.495965
18.923117,24,51.902701
15.926573,20,58.165032
14.217244,20,64.392436
11.775212,16,69.370754
12.653516,16,74.316421
8.093316,11,77.789521
6.566874,9,80.58906
3.362749,5,82.148897
1.960209,3,83.11064
18.271042,25,90.919237
1.958373,3,91.857971
13.699121,19,97.757885
5.370059,8,100.241818
2.846591,5,101.837047
4.406377,6,103.703495
17.529817,22,110.489317
4.556633,6,112.371013
8.556001,11,115.802404
21.739354,30,125.129198
6.6873,9,127.919605
16.73534,22,134.695759
2.566054,4,135.940526
10.299255,14,140.345808
10.861218,16,145.326947
17.630202,24,152.8853
6.015659,9,155.695382
24.704786,30,165.088806
4.685264,7,167.250063
5.935377,9,170.056659
20.14863,26,178.162672
10.885872,16,183.108636
14.971823,20,189.366152
2.396748,4,190.623245
25.824574,30,199.83485
5.563302,8,202.323858
10.092734,14,206.667161
6.24311,8,209.166532
2.596465,4,210.43099
14.536953,19,216.335977
9.162489,12,220.093579
3.20231,5,221.653853
21.714227,29,230.675985
22.437829,30,239.99513
2.68166,4,241.263229
1.598207,3,242.217554
22.446262,30,251.510954
20.744533,30,260.799711
1.786234,3,261.764889
3.565067,5,263.329544
20.871882,25,271.046261
2.079527,3,272.014983
11.327953,15,276.676952
2.563432,4,277.952649
7.318654,10,281.130469
10.72995,14,285.480285
16.35509,24,292.970757
2.568289,4,294.243452
16.4583,22,301.141801
9.038302,12,304.930862
10.331757,14,309.313778
23.504671,30,318.636803
20.744533,30,327.924741
7.675485,12,331.614028
4.988757,7,333.816094
2.957377,4,335.075501
0.989385,2,335.728019
22.644227,30,345.016653
1.276554,2,345.661188
9.192605,11,349.064244
3.851521,6,350.97897
22.962234,30,360.400639
3.363478,5,361.956021
21.175687,30,371.342721
3.613895,6,373.233101
8.555629,10,376.392989
7.728497,11,379.801477
6.362499,9,382.623286
5.769497,9,385.412738
6.567093,8,387.899244
9.625124,14,392.26169
2.401173,4,393.552768
11.254284,16,398.516351
19.608063,28,407.245764
14.778298,20,413.511358
16.596896,19,419.37294
1.196243,2,420.013024
1.600054,3,420.97235
4.756096,6,422.860332
6.077486,7,425.091078
10.725543,15,429.748387
22.946622,30,439.181454
11.35649,13,443.199578
2.721149,4,444.477261
10.837732,13,448.552244
3.794167,5,450.131258
23.343909,30,459.468622
17.183908,23,466.684822
2.054161,3,467.642232
2.451991,4,468.903075
4.000818,6,470.788842
12.909073,19,476.705446
8.362676,10,479.801313
2.792487,4,481.083511
4.444798,7,483.258342
1.276554,2,483.899012
9.342423,13,487.949558
4.204516,6,489.829782
22.160636,24,497.331078
15.914871,23,504.544765
8.967409,11,507.977609
16.218725,22,514.841598
22.754834,30,524.22492
6.559441,8,526.716722
14.103171,19,532.586352
2.280025,4,533.856967
18.096545,23,541.095104
8.736357,13,545.147337
19.805055,24,552.646482
1.602273,3,553.592247
4.694433,7,555.768065
22.075925,30,565.133968
18.368163,21,571.668986
5.451565,8,574.174381
3.200119,5,575.760653
14.159746,21,582.339562
1.764923,3,583.2802
4.64192,7,585.453109
15.068187,22,592.282321
8.589076,13,596.323542
2.566059,4,597.563407
7.879326,10,600.674582
21.699761,28,609.381685
3.643662,6,611.262515
5.760155,7,613.426365
2.725696,4,614.696648
4.975331,8,617.211163
7.217959,10,620.311962
4.987566,6,622.198232
19.795744,27,630.628492
4.756228,6,632.505485
13.697318,19,638.361305
5.715473,7,640.559721
22.568431,30,650.630837
14.15597,21,657.232933
21.924291,30,666.718351
2.568289,4,667.992277
3.886364,6,669.885102
13.833665,20,676.05367
24.185813,30,685.328087
22.328778,30,694.717619
21.65105,30,704.133687
6.370934,10,707.243643
21.327367,30,716.511596
1.600037,3,717.464432
1.958373,3,718.434422
13.191147,16,723.430219
6.928789,10,726.565066
3.760353,5,728.128078
16.038643,23,735.336999
21.501827,30,744.614864
22.550011,30,753.957788
17.42175,23,761.137234
21.629259,29,770.137814
14.69634,20,776.336274
21.084386,30,785.677756
3.054121,4,786.941355
8.700753,12,790.699029
19.309263,27,799.233325
17.353444,19,805.132705
21.211424,30,814.410865
10.78988,16,819.432416
2.685377,4,820.711486
7.131288,11,824.11626
13.596144,20,830.361916
9.994751,11,833.809455
3.407514,5,835.369401
4.28977,7,837.576281
12.453877,16,842.531434
5.772835,8,845.058828
8.40724,11,848.477983
11.046404,15,853.163562
20.037293,28,861.866098
17.009006,22,868.709668
18.1451,25,876.514835
7.955583,9,879.288031
23.209495,30,888.686923
15.887694,20,894.968386
15.645461,20,901.211608
1.597429,3,902.167077
27.555845,30,911.597496
2.401191,4,912.877135
9.105859,13,916.959829
5.959013,7,919.145732
21.288522,30,928.486323
3.723984,6,930.363113
11.941984,17,935.635917
20.8866,30,944.935944
1.600037,3,945.925357
1.598207,3,946.859228
5.768754,8,949.372421
4.128165,6,951.248807
4.560616,6,953.128604
6.127818,9,955.961939
15.065788,21,962.515889
1.960209,3,963.46355
2.398983,4,964.744544
22.572175,30,974.02823
12.055621,16,979.00929
10.13411,14,983.41275
2.955271,4,984.677453
15.743391,21,991.219487
9.279102,12,994.97129
4.056476,6,996.858256
13.031316,19,1002.758138
1.600054,3,1003.706586
14.160432,17,1008.972867
23.070068,30,1018.407635
10.737535,16,1023.437688
15.072863,22,1030.326061
17.603199,26,1038.359385
20.359095,28,1047.099284
8.805657,11,1050.510834
8.173252,12,1054.240845
8.360197,10,1057.398378
17.087434,21,1063.937265
7.488875,11,1067.365537
19.05151,24,1074.866306
15.111133,21,1081.416474
10.490143,15,1086.06569
5.656981,9,1088.884488
9.356798,11,1092.364967
2.566054,4,1093.640565
11.122522,14,1098.007408
4.2554,6,1099.906684
25.524135,30,1109.255891
22.120795,30,1118.557313
11.666132,17,1123.885126
6.273495,7,1126.063255
23.74565,30,1135.426858
6.017322,9,1138.234627
6.585734,8,1140.751472
21.686232,30,1150.075145
15.666822,21,1156.709191
12.199911,14,1161.037222
13.056211,18,1166.672964
13.310347,19,1172.589418
5.249608,7,1174.769423
5.409266,8,1177.282233
15.977923,22,1184.213952
21.238408,29,1193.199668
1.764923,3,1194.162282
1.960209,3,1195.124825
7.93366,11,1198.559915
13.98669,20,1204.722818
3.395366,5,1206.309738
7.758298,9,1209.102999
9.545539,14,1213.471189
7.879764,12,1217.190021
8.168099,12,1220.924296
4.295732,7,1223.137343
21.963632,30,1232.468688
3.367196,5,1234.021589
8.289802,12,1237.756265
10.062143,15,1242.451007
5.187419,7,1244.635666
14.418115,20,1250.865024
4.721608,6,1252.74225
10.00224,15,1257.370021
17.163137,20,1263.615687
20.625201,30,1272.99675
2.563432,4,1274.276716
21.523716,30,1284.302448
23.981884,30,1293.590143
22.249262,30,1302.917954
7.678132,10,1306.05033
6.607057,9,1308.882929
19.617709,26,1316.967527
2.959217,4,1318.234065
20.801524,30,1327.588545
4.953983,6,1329.472703
21.99176,30,1338.857612
22.48322,30,1348.217416
16.450875,24,1355.696842
22.964678,30,1364.991361
21.805497,30,1374.346961
1.598207,3,1375.305487
21.48144,30,1384.705136
2.401191,4,1385.961079
21.75275,30,1395.295104
14.721804,22,1402.211519
2.818415,5,1403.776969
11.486169,15,1408.457018
22.799214,30,1417.825386
3.977571,6,1419.737737
20.659181,30,1429.104167
4.363618,6,1430.988753
5.406174,7,1433.183593
16.295081,21,1439.81677
20.768273,30,1449.299834
21.408194,30,1458.529748
23.380978,30,1467.934829
17.652202,26,1476.066023
14.404732,18,1481.700321
21.643357,27,1490.058536
11.340985,17,1495.341019
22.556893,30,1504.707201
14.027809,20,1510.892779
5.849424,8,1513.397403
11.271268,16,1518.33808
11.289031,16,1523.317968
21.962369,30,1532.637203
5.659199,9,1535.477633
2.284091,4,1536.746992
17.548361,25,1544.510824
4.329545,7,1546.713953
6.203427,9,1549.554187
22.161418,30,1558.929562
6.930438,10,1562.039904
22.474958,30,1571.60168
20.975121,30,1580.926047
10.290253,15,1585.680035
